Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Truck,2020,Cascadia T12664ST,LY7770,  Available,11.54%,Fully Working,Properly working,1,Enabled,66771878,84321703,2025-12-04 03:08:00,CA,San Bernardino, 92407,34.201337,-117.376118
ACTIVE,Truck,2020,International,180591,  Available,50.00%,Fully Working,Properly working,-1,Enabled,26704464,84056300,2025-12-04 01:25:00,CA,Stockton, 95205,37.962362,-121.267295
ACTIVE,Truck,2020,LT625 Sleeper,142318,  Available,60.00%,Fully Working,Properly working,-1,Enabled,66726588,83236542,2025-12-04 09:11:00,CA,Palmdale, 93535,34.657165,-118.120117
ACTIVE,Truck,2020,LT625 Sleeper,182797,  Out for Repo,53.28%,All,Driving disabled,1,Disabled,66743565,84090838,2025-12-04 11:42:00,CA,Vernon, 90058,35.267465,-118.208292
ACTIVE,Truck,2020,LT625 Sleeper,360982,  Out for Repo,56.67%,1x encore,Removed from vehicle,1,Disabled,66743548,84090973,2025-12-04 11:35:00,CA,Newberry Springs, 92338,34.829155,-116.141883
ACTIVE,Truck,2020,Peterbilt 579 Sleeper Truck,689026,  Available,62.50%,Fully Working,Properly working,-1,Enabled,26736698,84230214,2025-12-04 11:04:00,WV,Inwood, 25413,39.296795,-78.079625
ACTIVE,Truck,2020,T680 Sleeper Truck,221462,  Available,54.17%,1x passtime,Driving disabled,1,Disabled,66752151,84437143,2025-12-04 08:25:00,NJ,Kearny, 07032,40.7538865,-74.0614583
ACTIVE,Truck,2020,T680 Sleeper Truck,225649,  Available,29.56%,1x passtime,Driving disabled,-1,Enabled,66762125,84276251,2025-12-04 06:20:00,CA,Bakersfield, 93307,35.332,-118.977572
ACTIVE,Truck,2020,T680 Tractor,369126,  Available,20.19%,Fully Working,Properly working,1,Enabled,66771876,84321738,2025-12-04 10:29:00,CA,Tonopah, 92365,34.820658,-112.782558
ACTIVE,Truck,2020,VNL64T760,251299,  Available,37.50%,Fully Working,Properly working,1,Enabled,66757935,84276106,2025-12-04 08:48:00,AL,Huntsville, 35811,34.779275,-86.537865
ACTIVE,Truck,2020,X12564ST,LJ2851,  Available,22.12%,1x passtime,Disconnected,1,Warning Sent,66762098,84276257,2025-12-04 10:49:00,CA,Buena Park, 90620,33.86033,-118.021217
ACTIVE,Truck,2021,Cascadia,MC1284,  Available,44.44%,Fully Working,Properly working,1,Enabled,66743558,84091004,2025-12-04 04:15:00,PA,Smithton, 45335,40.171488,-79.733217
ACTIVE,Truck,2021,Cascadia,MF6625,  Available,53.33%,Fully Working,Properly working,1,Enabled,26737236,84091019,2025-12-04 06:57:00,VA,Woodstock, 08318,39.510112,-75.125423
ACTIVE,Truck,2021,Cascadia PT126SLP,LC7257,  Available,39.97%,Fully Working,Properly working,1,Enabled,66752150,84230283,2025-12-04 06:11:00,MO,Saint Louis County, 46180,39.56763,-86.632688
ACTIVE,Truck,2021,Cascadia PT126SLP,MA3530,  Available,22.12%,Fully Working,Properly working,1,Enabled,66771640,84321741,2025-12-04 04:29:00,TN,Vega, 37076,36.164645,-86.614812
ACTIVE,Truck,2021,Cascadia PT126SLP,MA7393,  Available,50.00%,Fully Working,Properly working,1,Enabled,66702578,84230260,2025-12-04 07:05:00,MD,Halfway, 21740,39.65874,-77.784412
ACTIVE,Truck,2021,Cascadia PT126SLP,MC0487,  Available,35.42%,Fully Working,Properly working,1,Enabled,26714086,84028468,2025-12-04 11:29:00,TX,Washita County, 79068,36.927055,-94.73763
ACTIVE,Truck,2021,Cascadia PT126SLP,MC0677,  Available,43.33%,1x passtime,Driving disabled,1,Disabled,26736695,84230120,2025-12-04 05:21:00,AZ,Yavapai County,"ty, AZ",35.323058,-112.923678
